title	type	url_slug	venue	date	location	venue_url	talk_url	description
Conversions between D and MCFG: Logical Characterizations of the Mildly Context-Sensitive Languages	Conference Presentation	talk-1	24th Meeting of Computational Linguistics in The Netherlands	2014-01-17	Leiden, The Netherlands	http://clin24.inl.nl/
Enhanced Expressivity for Compositional Distributional Semantics	Poster Presentation	talk-2	Advances in Distributional Semantics	2015-04-14	London, UK	https://sites.google.com/site/iwcs2015ads/
Syntactic control for compositional vector space models	Conference Presentation	talk-3	Topology, Algebra, and Categories in Logic 2015	2015-06-21	Ischia, Italy	http://logica.dipmat.unisa.it/tacl/	http://logica.dmi.unisa.it/tacl/wp-content/uploads/2014/08/tacl2015_syntacticcontrol.pdf
Non-Local Information Flow in Compositional Vector Space Models: From enhanced syntax to enhanced semantics	Workshop Presentation	talk-4	Workshop on Statistical and Logical Models of Meaning at NASSLLI 2016	2016-07-13	Rutgers University, New Brunswick, NJ, USA	https://sites.google.com/site/statlogmeaning/accepted-abstracts
Compositional Distributional Semantics	Guest Lecture	talk-5	Utrecht University	2017-06-20	Utrecht, The Netherlands			I gave a guest lecture in Utrecht on compositional distributional semantics, followed by a lab with exercises using a concrete implementation of a compositional distributional model.
Coherent Diagrammatic Reasoning in Compositional Distributional Semantics	Conference Presentation	talk-6	24th Workshop on Logic, Language, Information and Computation	2017-07-19	University College London, UK	http://mol-wollic2017.eecs.qmul.ac.uk/wollic2017/#!/home
Vector Semantics for Lambek Calculus with Contraction	Conference Presentation	talk-7	Logic and Algorithms in Computational Linguistics 2017	2017-08-18	Stockholm University	http://staff.math.su.se/rloukanova/LACompLing17.html
Coherent Diagrammatic Reasoning in Compositional Distributional Semantics	Workshop Presentation	talk-8	1st Workshop on String Diagrams in Computation, Logic, and Physics	2017-09-08	Oxford, UK	http://string2017.cs.ru.nl/index.html
Lambek with Contractions	Workshop Presentation	talk-9	DuskoFest	2017-10-13	Oxford, UK
Proof Nets and String Diagrams	Invited Talk	talk-10	Leicester University	2017-10-23	Leicester, UK
Lexical and Derivational Meaning in Vector-Based Models of Relativisation	Conference Presentation	talk-11	21st Amsterdam Colloquium	2017-12-19	Amsterdam, The Netherlands	http://events.illc.uva.nl/AC/AC2017/
Classical Copying versus Quantum Entanglement in Natural Language: the Case of VP-ellipsis	Workshop Presentation	talk-12	Compositional Approaches for Physics, NLP, and Social Sciences	2018-09-02	Nice, France	https://sites.google.com/view/capns2018/home	http://events.cs.bham.ac.uk/syco/2/slides/wijnholds.pdf
Classical Copying versus Quantum Entanglement in Natural Language: the Case of VP-ellipsis	Workshop Presentation	talk-13	Second Symposium on Compositional Structures	2018-12-17	Strathclyde University, Glasgow, UK	http://events.cs.bham.ac.uk/syco/2/	http://events.cs.bham.ac.uk/syco/2/slides/wijnholds.pdf
